Spalte1,type,sub-type,country,region,units,co2e,source,source link,note,info
77,District heating,,France,Poitou-Charente/ Gémozac,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
78,District heating,,France,Poitou-Charente/ Jonzac,kgCO2e/kWh,0.029,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
79,District heating,,France,Poitou-Charente/ La Rochelle,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
80,District heating,,France,Poitou-Charente/ La Rochelle,kgCO2e/kWh,0.044,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
81,District heating,,France,Poitou-Charente/ Pons,kgCO2e/kWh,0.072,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
82,District heating,,France,Centre/ Asnières-les-Bourges,kgCO2e/kWh,0.023,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
83,District heating,,France,Centre/ Vierzon,kgCO2e/kWh,0.19,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
84,District heating,,France,Limousin/ Egletons,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
85,District heating,,France,Limousin/ Eyrein,kgCO2e/kWh,0.284,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
86,District heating,,France,Limousin/ Saint-Pantaléon-de-Larche,kgCO2e/kWh,4.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
87,District heating,,France,Limousin/ Servières-le-Château,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
88,District heating,,France,Limousin/ Sornac,kgCO2e/kWh,0.042,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
89,District heating,,France,Picardie/ Barenton-Bugny,kgCO2e/kWh,0.013,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
90,District heating,,France,Picardie/ Château-Thierry,kgCO2e/kWh,0.026,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
91,District heating,,France,Picardie/ Saint-Quentin,kgCO2e/kWh,0.079,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
92,District heating,,France,Picardie/ Soissons,kgCO2e/kWh,0.085,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
93,District heating,,France,Picardie/ Urcel,kgCO2e/kWh,0.038,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
94,District heating,,France,Corse/ Corte,kgCO2e/kWh,0.266,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
95,District heating,,France,Bourgogne/ Dijon,kgCO2e/kWh,0.068,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
96,District heating,,France,Bourgogne/ Dijon,kgCO2e/kWh,0.161,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
97,District heating,,France,Bourgogne/ Dijon,kgCO2e/kWh,0.07,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
98,District heating,,France,Bretagne/ Collinée,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
99,District heating,,France,Bretagne/ Le Gouray,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
100,District heating,,France,Bretagne/ Plessala,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
101,District heating,,France,Bretagne/ Ploufragan,kgCO2e/kWh,0.181,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
102,District heating,,France,Bretagne/ Pluzunet,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
103,District heating,,France,Limousin/ Bourganeuf,kgCO2e/kWh,0.026,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
104,District heating,,France,Limousin/ Felletin,kgCO2e/kWh,0.024,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
105,District heating,,France,Limousin/ Gentioux-Pigerolles,kgCO2e/kWh,0.192,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
106,District heating,,France,Aquitaine/ Coulounieix-chamiers,kgCO2e/kWh,0.091,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
107,District heating,,France,Aquitaine/ Douville,kgCO2e/kWh,0.049,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
108,District heating,,France,Aquitaine/ Périgueux,kgCO2e/kWh,0.037,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
109,District heating,,France,Aquitaine/ Saint-Astier,kgCO2e/kWh,0.069,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
110,District heating,,France,Franche-Comté/ Audincourt,kgCO2e/kWh,0.184,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
111,District heating,,France,Franche-Comté/ Besançon,kgCO2e/kWh,0.063,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
112,District heating,,France,Franche-Comté/ Besançon,kgCO2e/kWh,0.051,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
113,District heating,,France,Franche-Comté/ Béthoncourt,kgCO2e/kWh,0.216,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
114,District heating,,France,Franche-Comté/ Le Russey,kgCO2e/kWh,0.048,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
115,District heating,,France,Franche-Comté/ Montbéliard,kgCO2e/kWh,0.053,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
116,District heating,,France,Franche-Comté/ Mouthe,kgCO2e/kWh,0.091,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
117,District heating,,France,Franche-Comté/ Pontarlier,kgCO2e/kWh,0.011,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
118,District heating,,France,Rhône-Alpes/ Montélimar,kgCO2e/kWh,0.268,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
119,District heating,,France,Rhône-Alpes/ Pierrelatte,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
120,District heating,,France,Rhône-Alpes/ Romans-sur-Isère,kgCO2e/kWh,0.244,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
121,District heating,,France,Rhône-Alpes/ Valence,kgCO2e/kWh,0.288,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
122,District heating,,France,Rhône-Alpes/ Vassieux-en-Vercors,kgCO2e/kWh,0.014,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
123,District heating,,France,Haute-Normandie/ Canappeville,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
124,District heating,,France,Haute-Normandie/ Conches-en-Ouches,kgCO2e/kWh,0.053,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
125,District heating,,France,Haute-Normandie/ Evreux,kgCO2e/kWh,0.018,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
126,District heating,,France,Haute-Normandie/ Les Andelys,kgCO2e/kWh,0.21,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
127,District heating,,France,Haute-Normandie/ Louviers,kgCO2e/kWh,0.077,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
128,District heating,,France,Haute-Normandie/ Pont-Audemer,kgCO2e/kWh,0.217,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
129,District heating,,France,Haute-Normandie/ Vernon,kgCO2e/kWh,0.191,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
130,District heating,,France,Centre/ Chartres,kgCO2e/kWh,0.315,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
131,District heating,,France,Centre/ Chateaudun,kgCO2e/kWh,0.036,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
132,District heating,,France,Centre/ Manvilliers,kgCO2e/kWh,0.326,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
133,District heating,,France,Centre/ Nogent Rotrou,kgCO2e/kWh,0.219,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
134,District heating,,France,Centre/ Voves,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
135,District heating,,France,Bretagne/ Brest,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
136,District heating,,France,Bretagne/ Plougastel-Daoulas,kgCO2e/kWh,0.02,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
137,District heating,,France,Auvergne/ Commentry,kgCO2e/kWh,0.081,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
138,District heating,,France,Auvergne/ Ebreuil,kgCO2e/kWh,0.03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
139,District heating,,France,Auvergne/ Le Mayet-de-Montagne,kgCO2e/kWh,0.011,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
140,District heating,,France,Auvergne/ Meaulne,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
