Spalte1,type,sub-type,country,region,units,co2e,source,source link,note,info
308,District heating,,France,Champagne-Ardenne/ Chaumont,kgCO2e/kWh,0.34,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
309,District heating,,France,Champagne-Ardenne/ Chaumont,kgCO2e/kWh,0.03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
310,District heating,,France,Champagne-Ardenne/ Longeau-Percey,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
311,District heating,,France,Champagne-Ardenne/ Saint-Dizier,kgCO2e/kWh,0.111,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
312,District heating,,France,Champagne-Ardenne/ Saint-Dizier,kgCO2e/kWh,0.297,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
313,District heating,,France,Champagne-Ardenne/ Wassy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
314,District heating,,France,Pays-de-la-Loire/ Laval,kgCO2e/kWh,0.098,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
315,District heating,,France,Pays-de-la-Loire/ Saint-Hilaire-du-Maine,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
316,District heating,,France,Lorraine/ Barbonville,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
317,District heating,,France,Lorraine/ Ecrouves,kgCO2e/kWh,0.074,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
318,District heating,,France,Lorraine/ Nancy,kgCO2e/kWh,0.091,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
319,District heating,,France,Lorraine/ Nancy,kgCO2e/kWh,0.084,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
320,District heating,,France,Lorraine/ Nancy,kgCO2e/kWh,0.08,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
321,District heating,,France,Lorraine/ Vandoeuvre-les-Nancy,kgCO2e/kWh,0.033,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
322,District heating,,France,Lorraine/ Vandoeuvre-les-Nancy,kgCO2e/kWh,0.108,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
323,District heating,,France,Lorraine/ Bar-le-Duc,kgCO2e/kWh,0.274,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
324,District heating,,France,Lorraine/ Ligny-en-Barrois,kgCO2e/kWh,0.074,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
325,District heating,,France,Lorraine/ Verdun,kgCO2e/kWh,0.212,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
326,District heating,,France,Bretagne/ Auray,kgCO2e/kWh,0.08,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
327,District heating,,France,Bretagne/ Hennebont,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
328,District heating,,France,Bretagne/ Lanester,kgCO2e/kWh,0.044,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
329,District heating,,France,Bretagne/ Locminé,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
330,District heating,,France,Lorraine/ -Behren-lès-Forbach,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
331,District heating,,France,Lorraine/ Creutzwald,kgCO2e/kWh,0.242,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
332,District heating,,France,Lorraine/ Farébersviller,kgCO2e/kWh,0.097,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
333,District heating,,France,Lorraine/ Freyming-Merlebach,kgCO2e/kWh,0.153,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
334,District heating,,France,Lorraine/ Metz,kgCO2e/kWh,0.085,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
335,District heating,,France,Lorraine/ Saint-Avold,kgCO2e/kWh,0.228,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
336,District heating,,France,Lorraine/ Saint-Avold,kgCO2e/kWh,0.211,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
337,District heating,,France,Lorraine/ Saint-Avold,kgCO2e/kWh,0.195,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
338,District heating,,France,Lorraine/ Saint-Avold,kgCO2e/kWh,0.239,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
339,District heating,,France,Lorraine/ Sarreguemines,kgCO2e/kWh,0.248,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
340,District heating,,France,Lorraine/ Stiring-Wendel,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
341,District heating,,France,Lorraine/ Yutz,kgCO2e/kWh,0.068,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
342,District heating,,France,Bourgogne/ Arleuf,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
343,District heating,,France,Bourgogne/ Bazolles,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
344,District heating,,France,Bourgogne/ Billy-sur-Oisy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
345,District heating,,France,Bourgogne/ Brassy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
346,District heating,,France,Bourgogne/ Château-Chinon (Ville),kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
347,District heating,,France,Bourgogne/ Corancy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
348,District heating,,France,Bourgogne/ Corbigny,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
349,District heating,,France,Bourgogne/ Decize,kgCO2e/kWh,0.126,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
350,District heating,,France,Bourgogne/ Lormes,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
351,District heating,,France,Bourgogne/ Montigny-en-Morvan,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
352,District heating,,France,Bourgogne/ Nevers,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
353,District heating,,France,Bourgogne/ Ouroux-en-Morvan,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
354,District heating,,France,Bourgogne/ Planchez,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
355,District heating,,France,Bourgogne/ Saint-Brisson,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
356,District heating,,France,Bourgogne/ Saint-Saulge,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
357,District heating,,France,Bourgogne/ Saint-Verain,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
358,District heating,,France,Bourgogne/ Varzy,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
359,District heating,,France,Nord-Pas-De-Calais/ Anzin,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
360,District heating,,France,Nord-Pas-De-Calais/ Douchy-les-Mines,kgCO2e/kWh,0.028,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
361,District heating,,France,Nord-Pas-De-Calais/ Dunkerque,kgCO2e/kWh,0.11,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
362,District heating,,France,Nord-Pas-De-Calais/ Hazebrouck,kgCO2e/kWh,0.086,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
363,District heating,,France,Nord-Pas-De-Calais/ Lambersart,kgCO2e/kWh,0.102,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
364,District heating,,France,Nord-Pas-De-Calais/ Lille,kgCO2e/kWh,0.09,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
365,District heating,,France,Nord-Pas-De-Calais/ Lille,kgCO2e/kWh,0.26,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
366,District heating,,France,Nord-Pas-De-Calais/ Maubeuge,kgCO2e/kWh,0.215,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
367,District heating,,France,Nord-Pas-De-Calais/ Mons-en-Barœul,kgCO2e/kWh,0.151,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
368,District heating,,France,Nord-Pas-De-Calais/ Roubaix,kgCO2e/kWh,0.092,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
369,District heating,,France,Nord-Pas-De-Calais/ Sains-du-Nord,kgCO2e/kWh,0.046,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
370,District heating,,France,Nord-Pas-De-Calais/ Sin-le-Noble,kgCO2e/kWh,0.108,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
371,District heating,,France,Nord-Pas-De-Calais/ Valenciennes,kgCO2e/kWh,0.24,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
372,District heating,,France,Nord-Pas-De-Calais/ Villeneuve-d’Ascq,kgCO2e/kWh,0.206,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
373,District heating,,France,Nord-Pas-De-Calais/ Villeneuve-d’Ascq,kgCO2e/kWh,0.231,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
374,District heating,,France,Nord-Pas-De-Calais/ Wattignies,kgCO2e/kWh,0.178,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
375,District heating,,France,Nord-Pas-De-Calais/ Wattrelos,kgCO2e/kWh,0.24,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
376,District heating,,France,Provence-Alpes-Côte d'Azur/ Cannes,kgCO2e/kWh,0.129,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
377,District heating,,France,Provence-Alpes-Côte d'Azur/ Levens,kgCO2e/kWh,0.07,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
378,District heating,,France,Provence-Alpes-Côte d'Azur/ Nice,kgCO2e/kWh,0.183,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
379,District heating,,France,Provence-Alpes-Côte d'Azur/ Nice,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
380,District heating,,France,Picardie/ Beauvais,kgCO2e/kWh,0.021,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
381,District heating,,France,Picardie/ Breteuil-sur-Noye,kgCO2e/kWh,7.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
382,District heating,,France,Picardie/ Compiègne,kgCO2e/kWh,0.229,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
383,District heating,,France,Picardie/ Creil,kgCO2e/kWh,0.123,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
384,District heating,,France,Picardie/ Montataire,kgCO2e/kWh,0.168,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
385,District heating,,France,Picardie/ Nogent-sur-Oise,kgCO2e/kWh,0.082,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
386,District heating,,France,Basse-Normandie/ Alençon,kgCO2e/kWh,0.057,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
387,District heating,,France,Basse-Normandie/ Argentan,kgCO2e/kWh,0.03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
388,District heating,,France,Basse-Normandie/ Flers,kgCO2e/kWh,0.06,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
389,District heating,,France,Basse-Normandie/ La Ferté-Macé,kgCO2e/kWh,8.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
390,District heating,,France,Basse-Normandie/ L’Aigle,kgCO2e/kWh,0.036,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
391,District heating,,France,Nord-Pas-De-Calais/ Achicourt,kgCO2e/kWh,0.079,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
392,District heating,,France,Nord-Pas-De-Calais/ Arques,kgCO2e/kWh,0.063,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
393,District heating,,France,Nord-Pas-De-Calais/ Arras,kgCO2e/kWh,0.227,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
394,District heating,,France,Nord-Pas-De-Calais/ Avion,kgCO2e/kWh,0.201,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
395,District heating,,France,Nord-Pas-De-Calais/ Béthune,kgCO2e/kWh,0.214,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
396,District heating,,France,Nord-Pas-De-Calais/ Béthune,kgCO2e/kWh,0.237,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
397,District heating,,France,Nord-Pas-De-Calais/ Boulogne-sur-Mer,kgCO2e/kWh,0.17,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
398,District heating,,France,Nord-Pas-De-Calais/ Calais,kgCO2e/kWh,0.142,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
399,District heating,,France,Nord-Pas-De-Calais/ Lens,kgCO2e/kWh,0.028,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
400,District heating,,France,Nord-Pas-De-Calais/ Liévin,kgCO2e/kWh,0.246,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
401,District heating,,France,Nord-Pas-De-Calais/ Outreau,kgCO2e/kWh,0.082,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
402,District heating,,France,Nord-Pas-De-Calais/ Outreau,kgCO2e/kWh,0.189,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
403,District heating,,France,Auvergne/ Ambert,kgCO2e/kWh,0.256,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
404,District heating,,France,Auvergne/ Ardes,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
405,District heating,,France,Auvergne/ Beaumont,kgCO2e/kWh,0.217,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
406,District heating,,France,Auvergne/ Clermont-Ferrand,kgCO2e/kWh,0.019,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
407,District heating,,France,Auvergne/ Clermont-Ferrand,kgCO2e/kWh,0.193,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
408,District heating,,France,Auvergne/ Clermont-Ferrand,kgCO2e/kWh,0.077,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
409,District heating,,France,Auvergne/ Pontaumur,kgCO2e/kWh,0.08,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
410,District heating,,France,Auvergne/ Riom,kgCO2e/kWh,0.037,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
411,District heating,,France,Auvergne/ Rochefort-Montagne,kgCO2e/kWh,0.046,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
412,District heating,,France,Auvergne/ Royat,kgCO2e/kWh,0.228,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
413,District heating,,France,Auvergne/ Saint-Germain-l’Herm,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
414,District heating,,France,Aquitaine/ Pau,kgCO2e/kWh,0.029,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
415,District heating,,France,Midi-Pyrénées/ Vic-en-Bigorre,kgCO2e/kWh,0.05,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
416,District heating,,France,Languedoc-Roussillon/ Osseja,kgCO2e/kWh,0.217,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
417,District heating,,France,Alsace/ Allenwiller,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
418,District heating,,France,Alsace/ Haguenau,kgCO2e/kWh,0.063,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
419,District heating,,France,Alsace/ Haguenau,kgCO2e/kWh,0.112,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
420,District heating,,France,Alsace/ Lingolsheim,kgCO2e/kWh,0.107,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
421,District heating,,France,Alsace/ Morsbronn-les-Bains,kgCO2e/kWh,0.091,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
422,District heating,,France,Alsace/ Niederbronn-les-Bains,kgCO2e/kWh,0.066,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
423,District heating,,France,Alsace/ Ostwald,kgCO2e/kWh,0.235,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
424,District heating,,France,Alsace/ Rittershoffen,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
425,District heating,,France,Alsace/ Saales,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
426,District heating,,France,Alsace/ Schiltigheim,kgCO2e/kWh,0.11,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
427,District heating,,France,Alsace/ Sélestat,kgCO2e/kWh,0.111,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
428,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.076,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
429,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.061,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
430,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.239,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
431,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.239,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
432,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.279,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
433,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.225,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
434,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.07,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
435,District heating,,France,Alsace/ Strasbourg,kgCO2e/kWh,0.069,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
436,District heating,,France,Alsace/ Cernay,kgCO2e/kWh,0.076,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
437,District heating,,France,Alsace/ Colmar,kgCO2e/kWh,0.07,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
438,District heating,,France,Alsace/ Didenheim,kgCO2e/kWh,0.101,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
439,District heating,,France,Alsace/ Feldbach,kgCO2e/kWh,0.056,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
440,District heating,,France,Alsace/ Freisen,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
441,District heating,,France,Alsace/ Illzach,kgCO2e/kWh,0.062,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
442,District heating,,France,Alsace/ Lapoutroie,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
443,District heating,,France,Alsace/ Mulhouse,kgCO2e/kWh,0.185,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
444,District heating,,France,Alsace/ Rixheim,kgCO2e/kWh,0.063,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
445,District heating,,France,Alsace/ Saint-Louis,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
446,District heating,,France,Alsace/ Sainte-Marie-aux-Mines,kgCO2e/kWh,0.075,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
447,District heating,,France,Alsace/ Thann,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
448,District heating,,France,Rhône-Alpes/ Bron,kgCO2e/kWh,0.202,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
449,District heating,,France,Rhône-Alpes/ Champagne-au-Mont-d’Or,kgCO2e/kWh,0.073,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
450,District heating,,France,Rhône-Alpes/ Ecully,kgCO2e/kWh,0.207,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
451,District heating,,France,Rhône-Alpes/ Givors,kgCO2e/kWh,0.253,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
452,District heating,,France,Rhône-Alpes/ Gleize,kgCO2e/kWh,0.087,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
453,District heating,,France,Rhône-Alpes/ La Tour-de-Salvagny,kgCO2e/kWh,0.044,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
454,District heating,,France,Rhône-Alpes/ Lamure-sur-Azergues,kgCO2e/kWh,0.256,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
455,District heating,,France,Rhône-Alpes/ Lyon,kgCO2e/kWh,0.202,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
456,District heating,,France,Rhône-Alpes/ Lyon,kgCO2e/kWh,0.384,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
457,District heating,,France,Rhône-Alpes/ Lyon,kgCO2e/kWh,0.101,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
458,District heating,,France,Rhône-Alpes/ Lyon,kgCO2e/kWh,0.193,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
459,District heating,,France,Rhône-Alpes/ Oullins,kgCO2e/kWh,0.206,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
460,District heating,,France,Rhône-Alpes/ Rillieux-la-Pape,kgCO2e/kWh,0.028,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
461,District heating,,France,Rhône-Alpes/ Rillieux-la-Pape,kgCO2e/kWh,0.226,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
462,District heating,,France,Rhône-Alpes/ Rillieux-la-Pape,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
463,District heating,,France,Rhône-Alpes/ Sathonay-Camp,kgCO2e/kWh,0.064,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
464,District heating,,France,Rhône-Alpes/ Vaulx-en-Velin,kgCO2e/kWh,0.079,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
465,District heating,,France,Rhône-Alpes/ Vénissieux,kgCO2e/kWh,0.121,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
466,District heating,,France,Rhône-Alpes/ Villefranche-sur-Saone,kgCO2e/kWh,3.00E-03,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
467,District heating,,France,Rhône-Alpes/ Villeurbanne,kgCO2e/kWh,0.249,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
468,District heating,,France,Rhône-Alpes/ Villeurbanne,kgCO2e/kWh,0.183,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
469,District heating,,France,Rhône-Alpes/ Yzeron,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
470,District heating,,France,Rhône-Alpes/ Yzeron,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
471,District heating,,France,Rhône-Alpes/ Aubenas,kgCO2e/kWh,0.023,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
472,District heating,,France,Rhône-Alpes/ Banne,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
473,District heating,,France,Rhône-Alpes/ Burzet,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
474,District heating,,France,Rhône-Alpes/ Le Cheylard,kgCO2e/kWh,0.025,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
475,District heating,,France,Rhône-Alpes/ Montpezat-Sous-Bauzon,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
476,District heating,,France,Rhône-Alpes/ Valgorge,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
477,District heating,,France,Franche-Comté/ Breurey-les-Faverney,kgCO2e/kWh,0,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
478,District heating,,France,Franche-Comté/ Champey,kgCO2e/kWh,0.192,Bilans GES,https://data.ademe.fr/datasets/base-carbone%28r%29,valid for 2020,
